Link,Lokasi,Tipe Properti,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Sertifikat,Jumlah Lantai,Kondisi Properti,Dilengkapi Perabotan,Daya Listrik,Kamar Pembantu,Garasi,Carport,Hadap,Harga
https://www.rumah123.com/properti/lumajang-sumbersoko/rumah-bhumi-mandala-hos18574041/,Lumajang,-,85 M²,56 M²,2,1,Hgb,-,-,-,1300Watt,-,-,-,-,RP 475 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-hook-2lantai-sukodono-hos19097541/,Lumajang,-,72 M²,72 M²,4,2,Hgb,1,-,-,900Watt,-,-,-,-,RP 315 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-di-pusat-kota-hos18573822/,Lumajang,-,205 M²,205 M²,5,3,Shm,-,-,-,900Watt,-,-,-,-,"RP 1,9 MILIAR"
https://www.rumah123.com/properti/lumajang-kunir/rumah-minimalis-siap-huni-di-kunir-hos19517324/,Lumajang,-,60 M²,60 M²,2,1,Hgb,1,-,-,900Watt,-,-,-,-,RP 166 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-elit-sukodono-lumajang-hos18751386/,Lumajang,-,90 M²,72 M²,3,2,Hgb,-,-,-,2200Watt,-,-,-,-,RP 799 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-minimalis-daerah-lumajang-cocok-buat-hunian-hos14694496/,Lumajang,-,144 M²,189 M²,4,2,Shm,1,-,-,900Watt,-,-,1,-,RP 800 JUTA
https://www.rumah123.com/properti/lumajang-sumbersoko/rumah-hook-dekat-sumbersuko-lumajang-hos18734671/,Lumajang,-,1100 M²,1100 M²,6,5,Shm,-,-,-,5500Watt,-,-,-,-,"RP 4,5 MILIAR"
https://www.rumah123.com/properti/lumajang-sukodono/rumah-minimalis-tengah-kota-hos18573800/,Lumajang,-,78 M²,78 M²,3,1,Shm,-,-,-,900Watt,-,-,-,-,RP 215 JUTA
https://adclick.g.doubleclick.net/pcs/click?xai=AKAOjsvfBuYQfXsacKZ7eMuKjCEpXr2YYXLgr28x0xyQvdp4uW38GnrWkqbfTemjgeSwlQRQRU_4Wx_j2wKmTL-7ap1ljhGzxl1Ttf78p21ANvoQy6BMEuZ_HRa-9ITMHctY46oFnIlcH-9x3LzstaQIfKEwb91XTfjtLi7BTpeQ1Y1hdoVgFDuCDVZ5mgY2iZyEUFrHe_A-CYeVCMo8qYEAixIhzng4hj7cuMp4UYwiERMUNPok8dBH_vpsOCATQxfxZ0jpxqqTPyVMV_PP2t4fE4Q4i0VLhbSQbK3u4IPBQG-dZorNZhqXOMLn3KzrMzi7pxIRePOlutJQIS4XbTvBkWouUDQU-Ycm7VxEjcoC2TdRdN4RRoPX_Jda5LwYvtoUlh8l1WzuNDDzbLRNRo2nnIAP3Q8tYKj1&sai=AMfl-YSTtfwG2egJG3pLCPLPGL7vyp0ntfMm6gMoqaiBscPI-FTgUxB2XJFQqZ-CRbPaeclL4wTel-X8FX_DNWwkE21lCWO-aLaQmLiUUkuTywV1TojbaMbhW0rK7cpnjtgSQj8wnf7Bjk8GVg0Qr_0hFevjaART9kPC1XFePTEwgjLtOynsEdIdXQeH_5iu7ui-whOorCKTgkRQJ4lzTbAEoPNItBx8HOZreuEFwoodcFY0m0wWULb32hvR24NxAV9XJn7rlKIZ5_kIlFmKBIwDOwDdsKPA4HAtEI-XgzNdaaWu1znVQ8dpgtauF9jJ6rCWxXypDBn8_bvN&sig=Cg0ArKJSzFNmF3DIorXqEAE&fbs_aeid=%5Bgw_fbsaeid%5D&urlfix=1&adurl=https://www.rumah123.com/perumahan-baru/properti/majalengka/metland-kertajati/nps3660/?utm_source=adunit-r123&utm_medium=native-ads-4-jawa-timur&utm_campaign=srp-secondary,Lumajang,"Ruko, Rumah",-,-,-,-,Lainnya,-,-,-,-,-,-,-,-,RP 466 JUTA
https://www.rumah123.com/properti/lumajang-sukodono/rumah-luas-sukodono-hos19296549/,Lumajang,-,140 M²,140 M²,3,2,Shm,1,-,-,1300Watt,-,-,-,-,RP 490 JUTA
https://www.rumah123.com/properti/lumajang-kedungjajang/rumah-2-lantai-siap-huni-di-lumajang-kota-hos15029162/,Lumajang,-,144 M²,189 M²,4,2,Shm,2,-,-,900Watt,-,-,1,-,RP 800 JUTA
https://www.rumah123.com/perumahan-baru/properti/badung/i-villa/nps3536/,Lumajang,Rumah,-,-,-,-,Lainnya,-,-,-,-,-,-,-,-,"RP 3,5 MILIAR"
